# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
4490005004241,医療法人みずほ会,ミズホカイ,高知県,須崎市,高知県須崎市多ノ郷甲５７４８番地１,medical,care|clinic,2015-10-05,false,300,,,http://kochi-mizuho.com/index.php,088-840-3331,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7490005002580,医療法人互生会,,高知県,宿毛市,高知県宿毛市平田町戸内１８０２番地,medical,care|clinic,2015-10-05,false,,,,http://www.goseikai.jp/tomariya.html,048-963-1137,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8490005004709,社会福祉法人藤寿会,トウジュカイ,高知県,南国市,高知県南国市大埇乙１０７２番の１,medical,care,2015-10-05,false,314,,,http://www.toujukai.jp/,03-5876-1212,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8490001002550,株式会社アイ・エム・シーライフステージ,アイエムシーライフステージ,高知県,高知市,高知県高知市竹島町１３番地１,other,care,2015-10-05,false,338,,,,088-803-8851,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1490003001235,合同会社輝き,カガヤキ,高知県,高知市,高知県高知市二葉町８番１８号,other,care,2018-07-25,false,,,,,088-874-3134,,,国税庁 法人番号公表サイト,2018-07-30
4490001003973,株式会社とぅーぬそる,,高知県,高知市,高知県高知市薊野西町３丁目２１番１７－１０,other,care,2015-10-05,false,,,,,088-854-6067,,,国税庁 法人番号公表サイト,2026-03-27
4490003000309,合資会社オファーズ,オファーズ,高知県,高知市,高知県高知市潮新町１丁目１３番１９－９０３号,other,care,2015-10-05,false,,,,,088-832-2200,,,国税庁 法人番号公表サイト,2026-04-20
6490002001223,金龍貿易有限会社,,高知県,高知市,高知県高知市長浜１６５８番地２２,other,care|wholesale,2015-10-05,false,,,,,088-848-2992,,,国税庁 法人番号公表サイト,2015-11-27
7490001008177,株式会社ほごまる,ホゴマル,高知県,高知市,高知県高知市桜井町１丁目８番９号,other,care,2015-10-09,false,,,,,088-879-1429,,,国税庁 法人番号公表サイト,2018-10-10
9490005001903,一般社団法人いきいきシルバー会,,高知県,高知市,高知県高知市朝倉己７７６番地１,other,care,2015-10-05,false,,,,,088-850-7505,,,国税庁 法人番号公表サイト,2021-06-11
5490001003997,株式会社ＫＣＣマネージメント,ケーシーシーマネージメント,高知県,高知市,高知県高知市長浜５１７９番地２０,other,care,2015-10-05,false,,,,https://nijinoyume-g.jp/,088-837-9330,,https://nijinoyume-g.jp/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
8490001007104,龍馬観光株式会社,リョウマカンコウ,高知県,高知市,高知県高知市廿代町６番１７号,other,care,2015-10-05,false,,,,,088-803-8088,,,国税庁 法人番号公表サイト,2019-06-05
7490003000743,合同会社エスペランサ,,高知県,高知市,高知県高知市一宮西町１丁目３２番２５－１号,other,care,2015-10-05,false,,,,,088-828-4390,,,国税庁 法人番号公表サイト,2015-11-27
2490002007868,有限会社ユニバース,ユニバース,高知県,高知市,高知県高知市若草町１番２４号,other,care,2015-10-05,false,39,,,http://unvs.co.jp/,088-849-3330,,http://unvs.co.jp/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
7490001004523,株式会社ここわ,,高知県,高知市,高知県高知市一宮中町３丁目２３番３号コスモ一宮Ⅰ３０１号室,other,care,2015-10-05,false,,,,,088-855-5902,,,国税庁 法人番号公表サイト,2015-11-27
5490001004582,株式会社ワンアップ,ワンアップ,高知県,高知市,高知県高知市桟橋通４丁目１６番４４号コーポ三粧１Ｆ北,other,care,2015-10-05,false,,,,,088-855-7508,,,国税庁 法人番号公表サイト,2024-10-01
4490005000711,医療法人山村会,ヤマムラカイ,高知県,高知市,高知県高知市下島町１０６番地,medical,care|clinic,2015-10-05,false,156,,,http://yamamurakai.com/,0888725038,,http://yamamurakai.com/contact.html,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
7490005000626,社会医療法人仁生会,ジンセイカイ,高知県,高知市,高知県高知市越前町１丁目１０番１７号,medical,care|clinic,2015-10-05,false,1154,,,https://www.hosogi-hospital.jp/recruitment.htm,088-878-4000,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
3490002006092,和ウェルライフ株式会社,カノウウェルライフ,高知県,高知市,高知県高知市朝倉甲２００番地８ウェルライフ朝倉１Ｆ,other,care,2015-10-05,false,,,,https://kano-welllife.com,0120552046,,https://kano-welllife.com/contact.html,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
